"Item Id","Item URI","Dublin Core:Title","Dublin Core:Subject","Dublin Core:Description","Dublin Core:Creator","Dublin Core:Source","Dublin Core:Publisher","Dublin Core:Date","Dublin Core:Contributor","Dublin Core:Rights","Dublin Core:Relation","Dublin Core:Format","Dublin Core:Language","Dublin Core:Type","Dublin Core:Identifier","Dublin Core:Coverage","Item Type Metadata:Text","Item Type Metadata:Transcription","Item Type Metadata:Local URL","Item Type Metadata:Original Format","Item Type Metadata:Physical Dimensions","Item Type Metadata:From","Item Type Metadata:To","Item Type Metadata:Number of Attachments","Item Type Metadata:URL","Item Type Metadata:Birth Date","Item Type Metadata:Birthplace","Item Type Metadata:Death Date","Item Type Metadata:Biographical Text","Item Type Metadata:Bibliography","Item Type Metadata:Journal Entry","Item Type Metadata:Footnotes","Item Type Metadata:Location","PDF Text:Text",tags,file,itemType,collection,public,featured
95677,https://georgeeliotarchive.org/items/show/95677,"William Pitman Jones to Messrs. Blackwood, Preston, 12 August 1857","Messrs. Blackwood^^M","William Pitman Jones to Messrs. Blackwood, Preston, 12 August 1857
MS: National Library of Scotland. Hitherto unpublished.
St. Thomas' Parsonage | Preston | August 12. 1857. The Revd. W. P. Jones 951 would be very much obliged to Messrs.
Blackwood to inform him if there will be any more Parts of Scenes of Clerical Life, Janet's Repentance. Parts 1 and 2 of that allude to his deceased Brother, 952 who died 23 years ago last December, and he is utterly at a loss to conceive who could have written the statements or revived what should have been buried in oblivion. W. P. Jones with his only surviving sister had his attention drawn to the Paper by a clerical friend who knew all the Parties alluded to, most if not all of whom have long been in Eternity. If Messrs. Blackwood will oblige Mr. Jones by an answer they will confer a kindness on him.","William Pitman Jones^^M",vol2/Scenes_of_Clerical_Life,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1857-08-12,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0","1 Mrs. Bugden and Mrs. Charles  Hennell conducted a school for children from three to seven years of age. Chapman's daughter Beatrice had been a pupil there in May and June 1851, and Mrs. Bugden wanted his son Ernest also. Though their father favored the plan, Mrs. Chapman preferred to have the children at home. An advertisement of the school in the Leader, 17 July 1852, p. 692, shows that it was planned on ""progressive"" lines; obedience is enforced ""by appealing to the understanding and the sympathies, by directing attention to the natural consequences of conduct, and by fostering a love of excellence . . . and while the teaching of dogmatic creeds on the assumption of their unquestionable truth is scrupulously avoided, as prejudicial to the due exercise and development of the intellectual faculties, the utmost endeavours are made to educe and strengthen those elements of character which are the foundation of true religious feeling. Knowledge is made attractive. . . . For reference, etc., apply to Mr. John Chapman, Publisher, 142, Strand.""
2 On the first number of the Westminster  Review edited by GE. 

",,,,"2:374
",Preston,,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
95676,https://georgeeliotarchive.org/items/show/95676,"William Blackwood to Joseph Munt Langford, Edinburgh, 28 March 1860","Joseph Munt Langford^^M","William Blackwood to Joseph Munt Langford, Edinburgh, 28 March 1860
MS: National Library of Scotland. Hitherto unpublished.
George St. 28 March 1860.
My Dear Sir
We have received your letter about the subscription of the Mill yesterday. It is very satisfactory so far as it has gone, and we think there will be another 500 from the East and other outlying parties. With regard to Mudie, we cannot bind ourselves not to publish a 12/ edition until a twelvemonth is past, or till any other time. We have no power to do so from our agreement with the author. We do not however think that it will be advisable either for author's or publisher's advantage to publish a cheaper edition until the three volume one has had it's full swing, but when this will be we could not fix just now. From the author's reputation and its own merits we have little doubt that the demand for The Mill will be great and immediate. We published the 12/ edition of Adam Bede sooner than we think we should have done for our own interest, having then only the comparatively limited sale of the author's previous work Clerical Scenes to guide us. We cannot however see that Mr. Mudie suffered by our doing so; the large numbers he took of the 12/ edition showed that he had not near enough of the 3 vol. edition wherewith to supply his readers. On referring to our books I see he had 1500 of the 3 volume edition Adam Bede, 235 of which were taken in May. The 2 volume edition was published in June; he took 250 immediately and another 250 a week later and 400 in July and August. Looking therefore both to the inconvenience to the author and ourselves of coming under any engagement as to the time of publishing a cheaper edition and to past effects in a similar case, upon Mr. Mudie's interest of such an edition, we do not think he has any reason to ask us for such a guarantee as he requires. We should be glad to meet his wishes and oblige him in any way we could, but a guarantee would tie us up in a way that might not only be inconvenient in the present case but as a precedent in future ones.
We are going to press immediately with another 2000, 522 and I have little doubt but that The Mill will find the Printing office work for some time. Fortunately we have got the new cylinder machine working beautifully as well as another Platen within the last month, otherwise we should have been in a fix.
Mr. Simpson I am glad to say appears to have got quite over the attack in the eyes. He is still complaining a little of weakness however. We are very sorry to hear of poor Mr. Sheard's death. 523 It is melancholy, just, poor fellow when he
[The rest of this letter is lacking.]","William Blackwood^^M",vol3/First_Italian_Journey_Silas_Marner,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1860-03-28,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0","522 Cf. 7 March 1860.
523 Henry Sheard, GE's solicitor, died  24 March 1860.
",,,,"3:283
",Edinburgh,,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
95675,https://georgeeliotarchive.org/items/show/95675,"William Blackwood to John Blackwood, London, 21 April 1875","John Blackwood^^M","William Blackwood to John Blackwood, London, 21 April 1875
MS: National Library of Scotland. Hitherto unpublished.
Albemarle Street | London W | April 21/75.
My dear Uncle
I am very annoyed to find that my letter of Monday did not reach you yesterday morning as I sent it off from here in ample time for the extra stamp post. . . . I lunched with the Lewes' and found them both rather seedy I am sorry to say. George Eliot looked especially so and Lewes afterwards told me that she had been very unwell and I was quite shocked and distressed to see her looking so aged and haggard but she cheered up and both were very pleased to see me.
I thought the sales of Middlemarch were good enough to take her a note of them and she was extremely happy at seeing them so good still. We have sold over 1200 since January 1st and the number for April is already greater than that of March. She thanked me most cordially for bringing such bright news, and I replied that I hoped she had equally good to give me about the new novel. She at once hung her head low and said ""Oh no, it is detestable I think, but Mr. Lewes will tell you all about it when you smoke your cigar in the garden"" -- which he did.
Of course his opinion was quite the reverse and he said it was perfectly charming and all about English Ladies and Gentlemen and scene laid in Wiltshire. I got the title of it from him in great confidence and as a secret to be told to no one but you, not even Mr. Langford. It is Daniel DeRonda, and as Lewes rolled it out in a deep bass sounding voice he said ""Does it not sound very grand?"" I then learned that whole of Volume I was in a complete state and part one of the next volume. I suggested could I not take it down for you to read quietly before coming up, as you would then be well able to talk it over with Mrs. Lewes and give her encouragement to go on, and Lewes thought it a capital idea. As for trusting it to the Post that was not for a moment to be thought of. ""What would we do if it were lost and it could never be rewritten?""
When she joined us Lewes proposed it as my suggestion very nicely; if you had seen her face of horror and fright and meek expression you would have been startled. It was one of the most striking scenes I have ever seen and for a minute or two she would not speak. She seemed just to tremble at the idea of the M.S. being taken from her as if it were her baby; and by degrees she assented, and I am to go on Sunday or day before I start North for it. . . .
Lewes was also very strong upon the Inkerman Volume and described it as quite the most wonderful literary performance of its class he had ever read. They walked half way back with me and we had altogether a most pleasant chat. . . .
Best love to all.
Ever your affectionate nephew
William Blackwood.","William Blackwood^^M",vol6/The_Writing_of_Daniel_Deronda,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1875-04-21,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0",,"William Blackwood.",,,"6:135
",London,,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
95674,https://georgeeliotarchive.org/items/show/95674,"William Blackwood to John Blackwood, Edinburgh, 8 June 1859","John Blackwood^^M","William Blackwood to John Blackwood, Edinburgh, 8 June 1859
MS: National Library of Scotland. Hitherto unpublished.
June 1859.
My dear John
I send you the calculation for Scenes of Clerical Life uniform in two volumes with Adam Bede. Also a calculation for it in one volume of the same size. This I do not think will do -- it leaves so small a profit and will not make a nice volume. I think the two volumes should do, but after the subscription for the two volume edition of Adam Bede we shall be able to judge better. Slip leaf announcing this edition of Clerical Scenes should be put in every copy of the other book, Mr. Simpson says. This should be got ready in London.
There is another question: should the price be 10/6 or 12/-. I am rather inclined for the latter -- of the former edition I see we only printed 1000 -- having at first agreed with the author for only 750. Until yesterday I thought the number had been 1500. The author got from Maga for it 'a3262.10 and for the separate publication 'a3180 ('a3120 for 750, 'a360 after that number should be sold). The total profit estimated was 350 allowing 'a350 for advertising. If we give 'a3100 for a 2 volume edition at 12/- of 1500 and 'a350 when the whole or nearly so are sold, I think it will be a handsome offer, but if you feel confident about the 1500 going off I would make the 'a3150 certain. . . .
Yours sincerely
W. Blackwood
P.M.","William Blackwood^^M",vol3/Liggins_and_George_Eliot,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1859-06-08,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0",,"W. Blackwood",,,"3:80
",Edinburgh,,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
95673,https://georgeeliotarchive.org/items/show/95673,"William Blackwood to John Blackwood, Edinburgh, 20 June 1859","John Blackwood^^M","William Blackwood to John Blackwood, Edinburgh, 20 June 1859
MS: National Library of Scotland. Hitherto unpublished.
June 1859.
My dear John --
Mr. Simpson thinks we ought to get ready another 163 edition of 2000 of Adam Bede, and that this is Langford's opinion too. By the latter's letter to me of Friday 2000 were accounted for as gone here and in London and I thought the remaining 1000 would keep us in hand for a time. However as it will take 3 weeks to get an edition ready with comfort to the printing office it is a matter for consideration to go to press at once, especially as 112 pp. of the last are still in form and keeping them up interferes with the new edition of Clerical Scenes. If the demand has been continued today in London I should think we are quite safe in another edition.
With regard to the Poysers at the Seaside 164 Simpson is not very anxious. He does not think favourably of it commercially. I have rather the feeling that the Poysers are so good as they stand in Adam Bede that it would be a pity to weaken the effect of that unique work by extending as it were one section of it. Altogether I doubt whether such a thing will be for the author's advantage in the end; at the same time there is no doubt it would take, and if the author is bent on it we would be wrong not to go into it heartily, but I certainly would not press it in any way. . . .
ever yours affectionately
W. Blackwood.","William Blackwood^^M",vol3/Liggins_and_George_Eliot,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1859-06-20,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0","163 The 4th ed., the second in 2 vols.,  consisted of 3150 copies.
164 There is no further allusion to  The Poysers at the Seaside. 

","W. Blackwood.",,,"3:89
",Edinburgh,,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
95672,https://georgeeliotarchive.org/items/show/95672,"William Blackwood to John Blackwood, Edinburgh, 18 October 1859","John Blackwood^^M","William Blackwood to John Blackwood, Edinburgh, 18 October 1859
MS: National Library of Scotland. Hitherto unpublished.
Edin. 18 October /59.
My dear John
I send you a letter from G.E. I am rather sorry to see the change of signature. On the whole I think you may be as well without the new tale for Maga. It is evident there is going to be no secret about the authorship now which is one reason for its not appearing there to which considerable weight may be due: and another is the author's strong feeling about the advantage to be gained by having it brought out at once with the eclat of its being known to be by the author of A.B. Feeling sure that we are right as to the mode of publication we recommended I would not, were the author's position different, mind about pressing our ideas on him. But considering how that position may possibly affect the new book I think we might be placed in disagreeable circumstances by doing so.
Simpson is to have a careful comparison of 3 volume edition and 2 volume made and all the rates shown to me. . . .
Ever yours affectionately
W. Blackwood. . . .","William Blackwood^^M",vol3/The_Mill_on_the_Floss,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1859-10-18,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0","2 J.F.W. Johnston, The Chemistry of  Common Life, ed. George Henry Lewes, was published in monthly parts 1859-60. The statistics for imports of coffee, tea, cocoa, etc. in GHL's notes are all for 1857.
3 John Crombie Brown.  

","W. Blackwood. . . .",,,"3:188
",Edinburgh,,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
95671,https://georgeeliotarchive.org/items/show/95671,"William Blackwood to John Blackwood, Edinburgh, 14 June 1859","John Blackwood^^M","William Blackwood to John Blackwood, Edinburgh, 14 June 1859
MS: National Library of Scotland. Hitherto unpublished.
June 1859.
My dear John . . .
I send you a very curious letter from a man who supposes he is the original Amos Barton. I think he ought to have some acknowledgment. He writes like what one would almost have expected from Amos and I shall be curious to hear what G.E. says [of] it. Some old clergyman 157 wrote from the neighbourhood of either Liverpool or Manchester about his brother being the original of one character in Clerical Scenes, but that was in Janet's Repentance I think. I have been trying [to find] some trace of our correspondence with him but can't. I have hit upon a capital letter from G.E. however pointing out very beautifully upon how slight a foundation people build up these theories. It was written with reference to Newdegate's confidence about the incidents in Gilfil being all taken from his grandfather's history. 158 Aytoun came to town yesterday afternoon. He is tolerably well and is writing he says.
Ever yours affectionately
W. Blackwood.
John Blackwood Esq.","William Blackwood^^M",vol3/Liggins_and_George_Eliot,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1859-06-14,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0","157 William Pitman Jones. See 12 August  1857.
158 28 May 1858.
","W. Blackwood.",,,"3:85
",Edinburgh,,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
95670,https://georgeeliotarchive.org/items/show/95670,"William Blackwood to John Blackwood, Edinburgh, 1 December 1859","John Blackwood^^M","William Blackwood to John Blackwood, Edinburgh, 1 December 1859
MS: National Library of Scotland. Hitherto unpublished.
Edinburgh, 1 December 1859.
My dear John
I have been thinking over G.E's letter a good deal as you may suppose in the course of the day. On the whole I think it puts things fairly enough and that he wishes to continue to publish with us. How far that wish will lead him to accept a reasonable and moderate offer from us in preference to an extravagant one from another quarter I am not so clear about.
In saying that your offer stultified the reasons he gave for not publishing in Maga he overlooks that you said we would give him more for it there than in any other way of publication. I think we would have done so but I would not have it now for Maga. Any failure or fancied failure of it in that case would be most disagreeable. Our practice of never giving an author's name in Maga should be strongly dwelt on and our reason for it. It will soothe his feelings. With regard to A.B. Junr. and our neglect of his wishes we have some cause of complaint against him that he did not show more confidence in our judgment in the matter 'aband did not give us credit to believe that'bb. Neither in honor nor justice could we allow any injury to arise to G.E. from the wretched thing that we could prevent, and he might have given us credit for common sense and knowledge of our business enough to know when we were called upon to come before the public.
The dropping of the incognito is the most serious part of the business and will, I feel satisfied, affect the circulation in families of any future work. 411 Then there is the danger of G.E. coming before the public in his own name from some crotchet or another. I really think we should have some understanding with Lewes about this. Altogether it is a tangled kind of business, and though I feel that we should continue to publish for her as long as we have confidence in her other writings, we shall always, I am afraid, have disagreeables attending it in some shape or another. I think too very strongly that we should not bind ourselves until we have seen the new work.
Aytoun has given me back good St. Stephens; 412 he says it is not at all bad, better in fact than anybody else could have done it, but doubts whether it will tell. Of course we can't give any suggestions.
Hoping you had a pleasant journey and find a pleasant houseful at Arbury,
Ever yours affectionately
W. Blackwood.","William Blackwood^^M",vol3/The_Mill_on_the_Floss,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1859-12-01,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0","411 Langford wrote John Blackwood  23 November 1859 about a conversation with Mr. Watson of Nisbet's, who declared that the revelation of GE's identity had affected the book. He had read a MS written by a lady to the women of England aiming to show from internal evidence that Adam Bede was written by a woman of loose morals! People would be surprised at Blackwoods' continuing to publish ""for a person in such a position, but . . . he thought the author's powers would ride over all the unpleasant feeling.""
412 ""St. Stephen's,"" a long poem by  Sir Edward Bulwer-Lytton, giving ""sketches of our principal Parliamentary Orators,"" was published in Blackwood's, 87 (January -- March 1860).
","W. Blackwood.",,,"3:220
",Edinburgh,,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
95669,https://georgeeliotarchive.org/items/show/95669,"William Blackwood to John Blackwood, [Edinburgh,] 5 October 1859","John Blackwood^^M","William Blackwood to John Blackwood, [Edinburgh,] 5 October 1859
MS: National Library of Scotland. Hitherto unpublished.
October 1859.
My dear Johnny
There is an order from Paternoster Row for more Adam Bede. We have just 450 to meet it. I expect we are safe to go to press with 2000 more. We have only about 'a3400 in Coutts at present. I would not pay G.E. however before the money is due, which is not till end of this month. I have always thought we ought to give him a handsome sum (in addition to that already promised) for the 12/- edition. I thought however it would be done in a much handsomer manner after the bargain was settled for the new novel. I am still of that opinion, and think whether he negociates with anybody else or not we should, when there is no question betwixt us about a new novel, send such a sum as we think right and say that one reason for delaying to say anything about it before was that we felt a delicacy in doing so while negociating about another book. This has been my feeling, and it is much stronger since his letter, which I do not like. Indeed I thought the terms in which he acknowledged the intelligence of our intention to pay 'a3400 more not gracious. However neither that nor his last letter affects my idea of what we ought to pay him for Adam, though it makes it a less pleasant duty.
Ever yours affectionately
W. Blackwood.
John Blackwood, Esq.","William Blackwood^^M",vol3/The_Mill_on_the_Floss,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1859-10-05,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0","450 John Douglas Cook (1808?-68) edited  the Saturday Review 1855-68.
","W. Blackwood.",,,"3:172
",[Edinburgh],,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
95668,https://georgeeliotarchive.org/items/show/95668,"William Blackwood to GHL, London, 16 May 1868","George Henry Lewes^^M","William Blackwood to GHL, London, 16 May 1868
MS: National Library of Scotland. Hitherto unpublished.
May 16/68.
My Dear Mr. Lewes
I have given Mr. Langford special instructions about not letting a single copy of the poem out of our hands until the 25th and am also letting them know your wishes at Edinburgh. I daresay you will have observed that we are advertising it for that day. In a letter from Mr. Brown 762 (our press proof reader) received this morning he writes me as follows, and as I think it will interest and please Mrs. Lewes, I quote him at length.
""I am reading Fedalma over again in its perfected form and am more and more struck with its matchless depth and power. Of course it is impossible to say how that mysterious reading public, which buys Charles Dickens by the ten thousand for the thousand of Romola or Felix Holt, will take it, but if Fedalma does not, with the better and more thoughtful part of it, place George Eliot as high among poets as she already stands among novelists, my opinion of the reading intellect of the age will go down to zero. So far as printing etc. goes it promises to be a very handsome book."" For Mr. Brown this is tremendous strong.
Hoping you and Mrs. Lewes are better, believe me
Ever yours truly
William Blackwood.","William Blackwood^^M",vol4/The_Spanish_Gypsy,"George Eliot Archive, edited by Beverley Park Rilett. https://GeorgeEliotArchive.org",1868-05-16,"MS: National Library of Scotland. Hitherto unpublished.
","CC BY-NC-SA 4.0","762 John Crombie Brown.  

","William Blackwood.",,,"4:441
",London,,,,,,,,,,,,,,,,,,,,,Dataset,"<strong>Complete George Eliot Letters(2026)</strong>",1,0
