Dublin Core:Title,Dublin Core:Relation
Wathen Mark Wilks Call,"8:304, 8:308"
Susanna Brewitt Chapman,"4:486, 8:52"
Samuel Evans,
Mary Sibree Cash,"2:343, 4:108, 4:437, 5:385, 6:361, 8:10, 8:10, 8:10, 8:11, 8:11, 8:12, 8:15, 8:467"
Harriet Poynton Evans,
Ethel Bertha Harrison,"5:263, 5:331, 5:341, 7:129, 7:151"
Elizabeth Rebecca [nee Brabant] Call,"2:475, 4:268, 8:308, 8:431"
Eleanor Cross,"7:256, 7:259, 7:260, 7:266, 7:273, 7:296, 7:336, 7:337"
Alice Helps,"5:398, 6:32, 6:35, 6:129, 6:149, 6:194, 7:310"
"Caroline ""Cara"" Hennell Bray","1:267, 1:284, 1:291, 1:295, 1:321, 1:329, 1:336, 1:341, 1:346, 1:363, 1:371, 1:373, 1:374, 1:376, 1:377, 2:3, 2:9, 2:10, 2:12, 2:15, 2:16, 2:20, 2:22, 2:23, 2:25, 2:27, 2:29, 2:31, 2:32, 2:34, 2:36, 2:41, 2:42, 2:51, 2:55, 2:58, 2:59, 2:60, 2:65, 2:66, 2:67, 2:68, 2:69, 2:74, 2:75, 2:81, 2:84, 2:87, 2:88, 2:89, 2:90, 2:92, 2:96, 2:97, 2:99, 2:100, 2:102, 2:103, 2:111, 2:114, 2:116, 2:117, 2:119, 2:129, 2:135, 2:149, 2:150, 2:155, 2:160, 2:162, 2:163, 2:166, 2:213, 2:217, 2:313, 2:338, 2:397, 2:443, 2:500, 3:19, 3:22, 3:29, 3:32, 3:37, 3:99, 3:122, 3:137, 3:170, 3:321, 3:344, 3:345, 3:436, 3:456, 4:7, 4:10, 4:32, 4:33, 4:87, 4:106, 4:107, 4:113, 4:120, 4:124, 4:136, 4:148, 4:182, 4:194, 4:197, 4:207, 4:267, 4:326, 4:355, 4:356, 4:374, 4:397, 4:404, 4:421, 4:438, 4:477, 4:490, 5:44, 5:46, 5:50, 5:52, 5:54, 5:60, 5:114, 5:136, 5:138, 5:169, 5:173, 5:197, 5:266, 5:383, 5:389, 5:394, 5:418, 5:432, 5:435, 5:443, 5:471, 6:18, 6:32, 6:52, 6:94, 6:95, 6:118, 6:220, 6:283, 6:319, 6:352, 6:425, 7:29, 7:37, 7:40, 7:61, 7:123, 7:189, 7:340, 8:199, 8:276, 8:308, 8:458, 9:153, 1:180, 1:184, 5:394, 5:395, 7:275, 7:299, 8:119, 8:248, 1:214, 1:223, 1:224, 1:225, 1:235, 1:236, 1:238, 1:240, 1:241, 1:244, 1:264, 1:268, 1:271, 1:281, 1:303, 1:308, 1:310, 1:316, 1:318, 1:320, 1:324, 1:357, 1:365, 1:367, 3:16, 3:26, 3:53, 3:68, 3:71, 3:87, 3:91, 3:96, 3:141, 3:229, 3:311, 3:316, 3:324, 3:328, 3:338, 3:359, 3:377, 3:382, 3:391, 3:405, 3:429, 3:433, 3:439, 3:445, 3:452, 3:469, 4:12, 4:49, 4:72, 4:75, 4:82, 4:89, 4:90, 4:93, 4:105, 4:109, 4:128, 4:135, 4:138, 4:144, 4:145, 4:147, 4:153, 4:173, 4:177, 4:180, 4:193, 4:206, 4:235, 4:269, 4:297, 4:360, 4:363, 4:371, 4:401, 4:424, 4:488, 9:102"
John Blackwood,"2:269, 2:272, 2:273, 2:275, 2:276, 2:281, 2:283, 2:290, 2:293, 2:294, 2:296, 2:297, 2:298, 2:298, 2:299, 2:300, 2:302, 2:303, 2:307, 2:307, 2:308, 2:309, 2:316, 2:321, 2:321, 2:323, 2:323, 2:324, 2:325, 2:325, 2:328, 2:330, 2:334, 2:337, 2:338, 2:344, 2:347, 2:350, 2:352, 2:353, 2:359, 2:359, 2:361, 2:363, 2:365, 2:370, 2:371, 2:372, 2:373, 3:373, 2:374, 2:374, 2:375, 2:378, 2:380, 2:381, 2:385, 2:386, 2:386, 2:387, 2:393, 2:394, 2:395, 2:399, 2:399, 2:405, 2:410, 2:411, 2:413, 2:413, 2:416, 2:417, 2:418, 2:424, 2:427, 2:429, 2:430, 2:432, 2:433, 2:433, 2:435, 2:436, 2:439, 2:442, 2:444, 2:446, 2:448, 2:448, 2:456, 2:459, 2:461, 2:462, 2:463, 2:466, 2:466, 2:468, 2:473, 2:479, 2:480, 2:480, 2:481, 2:482, 2:483, 2:485, 2:487, 2:491, 2:492, 2:493, 2:494, 2:496, 2:497, 2:498, 2:499, 2:499, 2:505, 2:506, 2:507, 2:508, 2:509, 2:509, 2:512, 2:513, 3:4, 3:5, 3:5, 3:6, 3:8, 3:10, 3:11, 3:13, 3:20, 3:23, 3:25, 3:28, 3:29, 3:33, 3:34, 3:35, 3:38, 3:39, 3:40, 3:42, 3:43, 3:46, 3:47, 3:49, 3:50, 3:51, 3:53, 3:54, 3:55, 3:57, 3:57, 3:60, 3:61, 3:67, 3:69, 3:72, 3:72, 3:73, 3:75, 3:77, 3:77, 3:78, 3:80, 3:80, 3:81, 3:82, 3:83, 3:85, 3:88, 3:89, 3:92, 3:93, 3:101, 3:102, 3:104, 3:105, 3:112, 3:117, 3:118, 3:121, 3:124, 3:127, 3:131, 3:132, 3:132, 3:143, 3:145, 3:151, 3:160, 3:161, 3:172, 3:182, 3:183, 3:184, 3:188, 3:188, 3:190, 3:191, 3:192, 3:206, 3:207, 3:208, 3:211, 3:212, 3:215, 3:216, 3:217, 3:220, 3:222, 3:224, 3:232, 3:233, 3:234, 3:3245, 3:235, 3:236, 3:236, 3:239, 3:240, 3:242, 3:244, 3:245, 3:248, 3:249, 3:250, 3:251, 3:251, 3:252, 3:253, 3:254, 3:256, 3:258, 3:259, 3:262, 3:263, 3:264, 3:265, 3:266, 3:267, 3:268, 3:269, 3:272, 3:273, 3:275, 3:276, 3:277, 3:278, 3:284, 3:289, 3:293, 3:297, 3:305, 3:306, 3:312, 3:314, 3:317, 3:322, 3:327, 3:330, 3:332, 3:335, 3:339, 3:340, 3:341, 3:343, 3:345, 3:48, 3:349, 3:350, 3:351, 3:355, 3:357, 3:367, 3:369, 3:370, 3:371, 3:375, 3:377, 3:379, 3:380, 3:382, 3:383, 3:384, 3:385, 3:385, 3:386, 3:387, 3:387, 3:389, 3:390, 3:392, 3:394, 3:395, 3:405, 3:406, 3:410, 3:416, 3:420, 3:427, 3:430, 3:434, 3:440, 3:441, 3:443, 3:444, 3:445, 3:453, 3:457, 3:458, 3:459, 3:461, 3:463, 3:465, 3:473, 3:474, 4:3, 4:6, 4:15, 4:18, 4:22, 4:27, 4:34, 4:35, 4:38, 4:44, 4:47, 4:50, 4:61, 4:62, 4:63, 4:73, 4:76, 4:80, 4:112, 4:137, 4:240, 4:241, 4:242, 4:243, 4:243, 4:244, 4:246, 4:247, 4:250, 4:252, 4:253, 4:255, 4:257, 4:258, 4:263, 4:263, 4:275, 4:276, 4:279, 4:289, 4:290, 4:292, 4:294, 4:305, 4:307, 4:308, 4:313, 4:318, 4:319, 4:320, 4:325, 4:327, 4:347, 4:349, 4:352, 4:353, 4:354, 4:357, 4:366, 4:370, 4:372, 4:372, 4:373, 4:374, 4:391, 4:393, 4:396, 4:398, 4:399, 4:400, 4:401, 4:402, 4:403, 4:405, 4:406, 4:407, 4:411, 4:412, 4:414, 4:416, 4:417, 4:426, 4:427, 4:428, 4:428, 4:430, 4:431, 4:432, 4:433, 4:434, 4:435, 4:435, 4:436, 4:442, 4:443, 4:445, 4:449, 4:449, 4:450, 4:451, 4:452, 4:456, 4:457, 4:459, 4:460, 4:462, 4:463, 4:469, 4:479, 4:480, 4:492, 4:494, 4:495, 4:497, 4:500, 5:4, 5:15, 5:15, 5:17, 5:18, 5:19, 5:20, 5:23, 5:29, 5:34, 5:51, 5:66, 5:79, 5:80, 5:81, 5:99, 5:145, 5:148, 5:163, 5:164, 5:164, 5:167, 5:168, 5:179, 5:182, 5:183, 5:186, 5:187, 5:189, 5:193, 5:199, 5:200, 5:201, 5:202, 5:203, 5:205, 5:206, 5:207, 5:208, 5:211, 5:223, 5:230, 5:231, 5:234, 5:235, 5:236, 5:240, 5:245, 5:246, 5:248, 5:249, 5:254, 5:254, 5:255, 5:256, 5:263, 5:264, 5:269, 5:290, 5:293, 5:298, 5:299, 5:306, 5:307, 5:308, 5:314, 5:319, 5:330, 5:332, 5:334, 5:347, 5:349, 5:350, 5:352, 5:361, 5:363, 5:364, 5:365, 5:369, 5:370, 5:378, 5:379, 5:380, 5:386, 5:387, 5:400, 5:402, 5:406, 5:410, 5:410, 5:413, 5:416, 5:420, 5:429, 5:430, 5:438, 5:441, 5:451, 5:453, 5:456, 5:458, 5:460, 5:461, 6:9, 6:11, 6:19, 6:21, 6:25, 6:27, 6:36, 6:37, 6:41, 6:42, 6:43, 6:44, 6:50, 6:56, 6:61, 6:73, 6:75, 6:87, 6:91, 6:101, 6:114, 6:122, 6:135, 6:136, 6:143, 6:143, 6:144, 6:159, 6:168, 6:171, 6:177, 6:180, 6:180, 6:181, 6:182, 6:185, 6:187, 6:188, 6:192, 6:195, 6:196, 6:197, 6:198, 6:201, 6:203, 6:205, 6:210, 6:212, 6:213, 6:214, 6:215, 6:217, 6:219, 6:221, 6:222, 6:224, 6:225, 6:227, 6:228, 6:231, 6:231, 6:232, 6:237, 6:237, 6:238, 6:239, 6:240, 6:247, 6:249, 6:253, 6:255, 6:261, 6:262, 6:2, 626:265, 6:271, 6:274, 6:274, 6:279, 6:281, 6:293, 6:294, 6:297, 6:298, 6:299, 6:300, 6:303, 6:303, 6:307, 6:309, 6:312, 6:312, 6:315, 6:328, 6:331, 6:332, 6:333, 6:335, 6:339, 6:345, 6:349, 6:350, 6:357, 6:358, 6:360, 6:366, 6:388, 6:390, 6:391, 3:405, 6:410, 6:412, 6:414, 6:421, 6:422, 6:432, 6:434, 7:7, 7:9, 7:10, 7:32, 7:45, 7:48, 7:50, 7:67, 7:68, 7:78, 7:79, 7:80, 7:81, 7:82, 7:83, 7:85, 7:85, 7:88, 7:93, 7:94, 7:97, 7:98, 7:107, 7:108, 7:110, 7:112, 7:114, 7:118, 7:119, 7:120, 7:121, 7:125, 7:126, 7:129, 7:130, 7:135, 7:136, 7:136, 7:139, 7:140, 7:141, 7:142, 7:145, 7:170, 7:171, 7:173, 7:181, 7:182, 7:191, 7:197, 7:203, 7:206, 7:355, 7:357, 8:152, 8:153, 8:154, 8:168, 8:168, 8:172, 8:173, 8:176, 8:179, 8:179, 8:181, 8:182, 8:183, 8:183, 8:185, 8:185, 8:186, 8:188, 8:189, 8:189, 8:192, 8:193, 8:194, 8:197, 8:198, 8:198, 8:199, 8:200, 8:201, 8:202, 8:203, 8:204, 8:205, 8:211, 8:212, 8:213, 8:214, 8:215, 8:216, 8:216, 8:221, 8:222, 8:224, 8:228, 8:229, 8:230, 8:232, 8:235, 8:235, 8:235, 8:236, 8:236, 8:240, 8:249, 8:254, 8:261, 8:273, 8:273, 8:274, 8:277, 8:278, 8:281, 8:289, 8:290, 8:292, 8:292, 8:337, 8:348, 8:373, 8:373, 8:378, 8:379, 8:392, 8:397, 9:22, 9:69, 9:80, 9:86, 9:88, 9:89, 9:96, 9:98, 9:100, 9:112, 9:115, 9:138, 9:149, 9:156, 9:179, 9:255, 9:255"
Robert Herbert Brabant,
Charles Bray,"2:6, 2:8, 2:9, 2:11, 2:14, 2:17, 2:20, 2:20, 2:22, 2:23, 2:26, 2:27, 2:31, 2:32, 2:34, 2:36, 2:37, 2:38, 2:42, 2:43, 2:46, 2:50, 2:56, 2:58, 2:59, 2:60, 2:65, 2:67, 2:68, 2:69, 2:71, 2:71, 2:73, 2:73, 2:74, 2:75, 2:79, 2:79, 2:81, 2:82, 2:83, 2:83, 2:84, 2:88, 2:89, 2:90, 2:92, 2:93, 2:94, 2:96, 2:99, 2:99, 2:100, 2:101, 2:113, 2:116, 2:116, 2:117, 2:121, 2:122, 2:123, 2:125, 2:131, 2:136, 2:139, 2:158, 2:161, 2:165, 2:170, 2:178, 2:183, 2:184, 2:188, 2:197, 2:199, 2:200, 2:201, 2:202, 2:204, 2:209, 2:215, 2:218, 2:221, 2:224, 2:232, 2:234, 2:252, 2:260, 2:261, 2:262, 2:267, 2:279, 2:279, 2:284, 2:287, 2:396, 2:402, 2:414, 2:510, 3:27, 3:32, 3:87, 3:91, 3:91, 3:94, 3:99, 3:110, 3:120, 3:135, 3:147, 3:154, 3:155, 3:162, 3:164, 3:165, 3:168, 3:210, 3:213, 3:241, 3:323, 3:325, 3:326, 3:391, 3:349, 3:446, 4:72, 4:81, 4:169, 4:179, 4:496, 5:399, 7:342, 8:12, 8:30, 8:58, 8:59, 8:112, 8:122, 8:126, 8:127, 8:128, 8:129, 8:130, 8:139, 8:146, 8:237, 8:245, 8:260, 8:361"
Frances “Fanny” Evans Houghton,"2:52, 2:124, 2:134, 2:148, 2:223, 2:333, 2:336, 8:9, 8:16, 8:17, 8:17, 8:17, 8:18, 8:18, 8:62, 8:68, 8:169"
Henry Houghton,
Richard Monckton [Baron Houghton] Milnes,"7:19, 8:332, 8:336, 8:337, 8:346, 8:356, 8:357, 8:404, 8:473"
Thornton Leigh Hunt,
Thomas Henry Huxley,"8:196, 8:209, 8:360"
"Martha ""Patty"" Jackson","8:5, 8:7"
Owen Jones,
Benjamin Jowett,5:408
Joseph Munt Langford,"2:298, 3:7, 3:173, 3:180, 3:182, 3:193, 3:200, 3:204, 3:206, 3:209, 3:283, 3:343, 3:393, 4:38, 4:121, 4:246, 4:274, 4:491, 5:186, 5:187, 5:203, 5:207, 5:223, 5:243, 5:254, 5:350, 6:5, 6:44, 6:45, 6:390, 6:435, 7:82, 7:85, 7:85, 7:219, 7:229, 8:231"
Samuel Laurence,3:401
Frederick Lehmann,"4:148, 4:335, 4:336, 8:385"
Nina Lehmann,"4:240, 4:335, 4:336, 4:340, 4:368, 6:360, 8:328, 8:401, 8:405"
Frederick Leighton,"4:39, 4:40, 4:41, 4:41, 4:55, 4:63"
Agnes Jervis Lewes,"8:164, 8:174, 8:190"
Blanche Southwood Lewes,"3:125, 3:177, 3:215, 3:242, 3:273, 3:407, 3:408, 3:411, 3:413, 3:418, 3:421, 3:451, 4:20, 4:26, 4:29, 4:31, 4:36, 4:53, 4:54, 4:76, 4:90, 4:150, 4:151, 4:163, 4:185, 4:272, 4:281, 4:283, 4:331, 4:345, 4:383, 4:387, 4:420, 4:454, 4:478, 5:36, 5:72, 5:85, 5:91, 5:96, 5:110, 5:126, 5:135, 5:143, 5:149, 5:154, 5:161, 5:176, 5:180, 5:278, 5:316, 5:423, 5:424, 6:59, 6:77, 6:153, 6:184, 6:264, 6:267, 7:38, 7:64, 7:73, 7:84, 7:87, 7:88, 7:90, 7:106, 7:143, 7:156, 7:158, 7:161, 7:167, 7:175, 7:177, 7:178, 7:179, 7:184, 7:187, 7:190, 7:193, 7:201, 7:205, 7:213, 7:216, 7:217, 7:222, 7:224, 7:276, 7:282, 7:288, 7:293, 7:302, 7:304, 7:306, 7:311, 7:318, 7:318, 7:325, 7:327, 7:329, 7:338, 8:120, 8:164, 8:174, 8:190, 8:282, 8:451"
Charles Lewes,
Charles Lee Lewes,"3:125, 3:177, 3:215, 3:242, 3:273, 3:407, 3:408, 3:411, 3:413, 3:418, 3:421, 3:451, 4:20, 4:26, 4:29, 4:31, 4:36, 4:53, 4:54, 4:76, 4:90, 4:150, 4:151, 4:163, 4:185, 4:272, 4:281, 4:283, 4:331, 4:345, 4:383, 4:387, 4:420, 4:454, 4:478, 5:36, 5:72, 5:85, 5:91, 5:96, 5:110, 5:126, 5:135, 5:143, 5:149, 5:154, 5:161, 5:176, 5:180, 5:278, 5:316, 5:423, 5:424, 6:59, 6:77, 6:153, 6:184, 6:264, 6:267, 7:38, 7:64, 7:73, 7:84, 7:87, 7:88, 7:90, 7:106, 7:143, 7:156, 7:158, 7:161, 7:167, 7:175, 7:177, 7:178, 7:179, 7:184, 7:187, 7:190, 7:193, 7:201, 7:205, 7:213, 7:216, 7:217, 7:222, 7:224, 7:276, 7:282, 7:288, 7:293, 7:302, 7:304, 7:306, 7:311, 7:318, 7:318, 7:325, 7:327, 7:329, 7:338, 8:120, 8:164, 8:174, 8:190, 8:282, 8:451"
Elizabeth Ashweek Willim Lewes,4:272
